상품별 수익률 수수료율(납입원금 대비),,,,,,,,,,,,,,,,,,,,,,,,,,
[조회조건],,,,,,,,,,,,,,,,,,,,,,,,,,
권역: ,자산운용[펀드],금융회사: ,,판매여부: ,전체,원금보장: ,전체,수수료구조: ,전체,중도인출: ,전체,연금수령기간: ,전체,작성기준일: ,'25년 3분기,과거비교: ,2024,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
총 2003건,"(단위: 백만원 , %)",,,,,,,,,,,,,,,,,,,,,,,,,
상품명,금융회사,상품유형,최초판매일,판매여부,중도해지,'25년 3분기,,,,'24년,,,,장기 수익률(연평균),,,,장기 수수료율(연평균),,,,,,,,
,,,,,,납입원금,적립금,수익률,수정기준가 수익률,납입원금,적립금,수익률,수정기준가 수익률,3년,5년,7년,10년,3년,5년,7년,10년,,,,,
삼성미국S&P500인덱스증권자투자신탁UH[주식]_C-Pe,삼성자산운용,주식형,2018/02/19,판매,가능,"44,769","61,125",25.30,23.16,"34,803","46,938",39.83,39.53,12.84,16.43,,,1.01,1.00,,,,,,,
한국투자골드플랜연금증권전환형투자신탁 1(주식혼합)(C),한국투자신탁운용,혼합주식형,2001/01/31,판매,가능,"25,311","60,108",41.59,22.96,"28,439","50,105",-4.01,-1.46,-4.90,2.91,0.59,2.47,1.77,1.71,1.60,1.49,,,,,
미래에셋아시아그레이트컨슈머증권자투자신탁 1(주식-재간접형)종류C-p,미래에셋자산운용,재간접,2013/10/21,판매,가능,"38,994","59,843",0.07,9.46,"48,776","71,914",19.30,19.87,-11.28,-6.61,-4.27,-0.51,1.76,1.95,1.86,1.70,,,,,
삼성한국형TDF2040증권투자신탁H[주식혼합-재간접형]_C-P,삼성자산운용,재간접,2016/04/21,판매,가능,"37,777","59,158",15.50,11.35,"40,168","54,592",10.44,8.61,-3.15,2.38,2.47,,1.96,1.85,1.70,,,,,,
미래에셋평생소득TIF혼합자산자투자신탁종류C-P,미래에셋자산운용,혼합자산,2017/06/23,판매,가능,"48,052","58,783",5.00,7.96,"56,253","64,809",5.02,7.77,-1.25,2.52,3.46,,0.79,0.79,0.76,,,,,,
미래에셋국공채전용MMF A1(국공채)종류C-P,미래에셋자산운용,단기금융,2015/10/12,판매,가능,"56,579","57,297",2.59,2.84,"63,068","64,683",3.05,3.49,2.67,1.90,1.96,1.73,0.17,0.17,0.17,0.15,,,,,
한국투자연금베트남증권자투자신탁(주식혼합)(C-e),한국투자신탁운용,혼합주식형,2014/12/12,판매,가능,"19,736","56,806",33.46,20.44,"24,503","58,257",54.75,34.42,1.57,11.28,4.05,9.28,1.70,1.52,1.37,1.25,,,,,
삼성한국형TDF2030증권투자신탁H[주식혼합-재간접형]_C-P,삼성자산운용,재간접,2016/04/21,판매,가능,"38,825","56,802",13.84,10.69,"42,232","54,010",9.47,8.12,-1.96,2.25,2.43,,1.23,1.14,1.10,,,,,,
마이다스우량채권증권자투자신탁 1(채권)C-P1,마이다스에셋자산운용,채권형,2019/08/22,판매,가능,"53,508","56,656",4.30,4.25,"44,650","46,318",4.72,5.13,3.21,2.68,,,0.35,0.30,,,,,,,
하나신종MMF(S-26)ClassC-P,하나자산운용,단기금융,2013/07/10,판매,가능,"46,967","56,244",3.27,2.80,"47,597","55,778",3.79,3.37,3.23,2.21,2.03,1.83,0.30,0.29,0.29,0.28,,,,,
