상품별 수익률 수수료율(납입원금 대비),,,,,,,,,,,,,,,,,,,,,,,,,,
[조회조건],,,,,,,,,,,,,,,,,,,,,,,,,,
권역: ,자산운용[펀드],금융회사: ,,판매여부: ,전체,원금보장: ,전체,수수료구조: ,전체,중도인출: ,전체,연금수령기간: ,전체,작성기준일: ,'25년 3분기,과거비교: ,2024,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
총 2003건,"(단위: 백만원 , %)",,,,,,,,,,,,,,,,,,,,,,,,,
상품명,금융회사,상품유형,최초판매일,판매여부,중도해지,'25년 3분기,,,,'24년,,,,장기 수익률(연평균),,,,장기 수수료율(연평균),,,,,,,,
,,,,,,납입원금,적립금,수익률,수정기준가 수익률,납입원금,적립금,수익률,수정기준가 수익률,3년,5년,7년,10년,3년,5년,7년,10년,,,,,
마이다스글로벌리더스성장주증권자투자신탁(UH)S-P,마이다스에셋자산운용,주식형,2021/10/27,판매,가능,176,275,32.75,35.41,360,451,43.02,68.06,4.54,,,,0.97,,,,,,,,
다올글로벌메타버스&우주산업1등주증권자투자신탁(H)[주식]종류C-P,다올자산운용,주식형,2021/09/06,판매,가능,193,275,34.02,33.56,166,201,31.49,37.34,-2.71,,,,1.30,,,,,,,,
한화단기회사채증권자투자신탁(채권)종류C-P,한화자산운용,채권형,2019/05/28,판매,가능,225,274,3.49,3.03,356,397,4.00,3.78,3.40,2.38,,,0.29,0.29,,,,,,,
iM에셋차이나채권증권자투자신탁(채권-재간접형)(C-p),아이엠에셋자산운용,재간접,2015/06/09,판매,가능,138,274,1.64,0.47,205,331,1.90,1.48,-7.62,-2.12,-1.54,,1.43,1.39,1.30,,,,,,
하나공모주하이일드증권투자신탁[채권혼합]ClassC-P,하나자산운용,혼합채권형,2024/06/21,판매,가능,263,274,2.80,2.59,352,355,0.00,,,,,,,,,,,,,,
교보악사공모주하이일드플러스증권투자신탁[채권혼합]ClassS-P,교보악사자산운용,혼합채권형,2018/10/08,판매,가능,233,273,5.98,5.39,144,173,5.82,5.79,7.10,4.20,,,0.68,0.41,,,,,,,
미래에셋스마트롱숏30증권자투자신탁2(채권혼합)종류C-Pe,미래에셋자산운용,혼합채권형,2016/02/26,판매,가능,216,272,7.32,6.18,209,251,1.43,1.62,1.96,2.87,2.73,,0.87,0.85,0.83,,,,,,
베어링독일증권자투자신탁[H](주식-재간접형)ClassC-P,베어링자산운용,재간접,2015/10/28,판매,가능,106,272,34.51,19.05,124,246,18.50,12.31,0.25,2.95,0.02,,1.58,1.48,1.39,,,,,,
KB브라질증권자투자신탁(주식)S-P클래스,케이비자산운용,주식형,2017/10/10,판매,가능,261,272,14.94,18.81,322,234,-26.87,-25.17,-7.03,-14.70,-9.21,,1.13,1.12,1.14,,,,,,
미래에셋달러우량중장기채권증권자투자신탁(UH)(채권)종류C-P,미래에셋자산운용,채권형,2019/07/23,판매,가능,231,272,7.14,8.64,245,287,12.28,14.18,3.03,4.18,,,0.85,0.83,,,,,,,
한화연금저축아시아리츠부동산자투자신탁(리츠-재간접형)종류C-e,한화자산운용,부동산,2016/10/17,판매,가능,269,272,6.81,7.72,304,271,-0.30,-0.07,-3.10,-2.58,0.15,,0.84,0.86,0.86,,,,,,
피델리티글로벌배당인컴20증권자투자신탁(채권혼합-재간접형)종류PRS-e,피델리티자산운용,재간접,2016/05/23,판매,가능,226,271,3.72,3.09,313,350,5.43,5.10,3.20,2.84,2.91,,0.51,0.51,0.50,,,,,,
삼성애버딘미국중소형증권자투자신탁H[주식-재간접형]C-Pe,삼성자산운용,재간접,2017/08/03,판매,가능,232,271,5.77,10.31,608,636,7.83,11.26,-8.76,0.61,-0.92,,0.73,0.74,0.73,,,,,,
KB유로인덱스40증권자투자신탁(채권혼합-파생형) C-Pe 클래스,케이비자산운용,재간접,2016/11/07,판매,가능,233,270,6.22,5.78,218,238,5.56,5.99,3.59,4.71,4.96,,0.72,0.73,0.75,,,,,,
하나초단기채증권투자신탁[채권]종류C-PE,하나자산운용,채권형,2024/03/08,판매,가능,255,269,3.38,3.31,340,346,0.00,,,,,,,,,,,,,,
NH-Amundi대한민국고배당주연금증권전환형자투자신탁[주식]S-P,엔에이치아문디자산운용,주식형,2017/09/25,판매,가능,187,269,39.44,39.05,61,87,-2.98,-0.90,-7.10,3.77,1.32,,1.17,1.16,1.06,,,,,,
삼성CHINA2.0본토증권자투자신탁 1[주식]C-Pe,삼성자산운용,주식형,2017/11/21,판매,가능,248,269,23.23,31.66,259,239,14.13,23.21,-11.75,-5.66,-5.59,,1.22,1.38,1.33,,,,,,
하나뉴딜임팩트증권자투자신탁[주식]ClassC-PE,하나자산운용,주식형,2020/11/27,판매,가능,270,268,27.76,37.53,374,249,-18.55,-20.32,-12.96,,,,0.78,,,,,,,,
삼성아문디유럽중소형증권자투자신탁H[주식-재간접형]_C-Pe,삼성자산운용,재간접,2017/10/19,판매,가능,272,268,0.77,2.77,46,43,2.49,3.18,-7.79,1.79,,,0.56,0.59,0.55,,,,,,
에셋플러스알파로보글로벌인컴증권자투자신탁 1-1(주식)종류S-P,에셋플러스자산운용,주식형,2017/07/03,판매,가능,154,266,16.40,12.30,217,321,29.23,25.95,11.87,13.35,11.04,,0.98,0.93,0.89,,,,,,
IBK로우코스트TDF2045증권자투자신탁[혼합-재간접형]종류C-Pe,아이비케이자산운용,재간접,2022/09/13,판매,가능,247,265,12.97,15.31,3,3,4.76,,,,,,,,,,,,,,
한화코리아레전드4차산업혁명증권자투자신탁(주식)S-P(연금저축),한화자산운용,주식형,2018/04/03,판매,가능,128,264,55.27,46.93,193,219,-7.48,-3.75,-15.93,-0.26,,,1.08,1.08,,,,,,,
삼성글로벌반도체증권자투자신탁UH[주식]_C-P,삼성자산운용,주식형,2024/05/23,판매,가능,248,263,17.03,32.32,164,152,,,,,,,,,,,,,,,
신한해피라이프연금일본인덱스증권자투자신탁(H)[주식](종류C-e),신한자산운용,주식형,2013/06/13,판매,가능,167,263,20.19,15.75,156,218,20.71,22.51,11.29,10.32,7.64,7.40,0.75,0.76,0.75,0.77,,,,,
한국투자웰링턴글로벌퀄리티증권자투자신탁H(주식)(S-P),한국투자신탁운용,주식형,2017/09/27,판매,가능,122,261,26.89,15.85,181,296,29.06,23.43,3.01,9.86,9.32,,1.41,1.35,1.28,,,,,,
KB온국민TDF2030증권투자신탁(주식혼합-재간접형)S-P,케이비자산운용,재간접,2017/08/03,판매,가능,232,261,11.17,10.79,60,78,14.08,,1.89,3.71,4.70,,0.27,0.31,0.35,,,,,,
BNK튼튼개인MMF 1ClassS-P,비엔케이자산운용,단기금융,2015/04/23,판매,가능,215,261,3.33,2.96,274,324,4.28,3.50,4.23,2.70,2.48,,0.23,0.23,0.23,,,,,,
카디안연금저축업종일등ESG증권자투자신탁[주식]클래스C-E,카디안자산운용,주식형,2016/08/31,판매,가능,163,261,43.28,39.64,156,171,-8.93,-7.03,-12.60,-0.95,-2.94,,1.20,1.22,1.14,,,,,,
트러스톤공모주알파증권투자신탁[채권혼합]Cp클래스,트러스톤자산운용,혼합채권형,2016/07/27,판매,가능,227,260,9.38,8.83,171,190,2.53,2.58,1.77,1.53,1.09,,1.19,0.87,0.62,,,,,,
KB올에셋AI솔루션EMP증권자투자신탁(혼합-재간접형)(H)C-P,케이비자산운용,재간접,2020/06/17,판매,가능,177,260,12.14,9.18,237,304,12.96,11.84,-0.72,,,,1.63,,,,,,,,
미래에셋연금차이나인프라증권자투자신탁 1(주식) 종류C-Pe,미래에셋자산운용,주식형,2015/05/19,판매,가능,284,258,22.72,27.07,299,211,14.84,15.79,-8.45,4.26,6.20,-2.18,0.95,1.15,1.13,1.03,,,,,
KB연금단기채증권전환형자투자신탁(채권)C-E,케이비자산운용,채권형,2018/12/20,판매,가능,241,258,3.76,3.60,118,131,4.57,4.31,3.13,1.94,,,0.19,0.19,,,,,,,
미래에셋스마트섹터배분증권자투자신탁 1(주식)종류C-Pe,미래에셋자산운용,주식형,2016/01/21,판매,가능,172,257,38.49,39.92,173,170,-16.82,-11.76,-15.06,-1.99,-0.69,,1.02,1.01,0.93,,,,,,
삼성ESG착한책임투자증권투자신탁 1[주식]_C-Pe,삼성액티브자산운용,주식형,2017/08/24,판매,가능,185,256,39.49,39.88,167,161,-2.67,-2.95,-4.49,3.87,0.29,,1.10,1.14,1.11,,,,,,
베어링글로벌이머징마켓증권자투자신탁[H](주식-재간접형)ClassC-Pe,베어링자산운용,재간접,2018/01/16,판매,가능,316,255,8.23,12.08,316,210,2.44,2.80,-5.11,-3.94,-3.85,,0.48,0.53,0.52,,,,,,
신한미국장기국채목표전환형증권투자신탁(H)[채권-재간접형](종류C-pe),신한자산운용,재간접,2023/04/04,판매,가능,303,254,-6.88,-6.56,346,290,-9.62,-9.64,,,,,,,,,,,,,
마이다스글로벌리더스성장주증권자투자신탁(H)C-Pe1,마이다스에셋자산운용,주식형,2021/10/07,판매,가능,176,254,29.48,25.46,180,235,42.20,50.77,0.18,,,,1.13,,,,,,,,
유진디딤플레인바닐라OCIO증권자투자신탁(혼합-재간접형)ClassC-Pe,유진자산운용,재간접,2023/02/24,판매,가능,129,254,10.36,5.36,107,219,18.99,6.55,,,,,,,,,,,,,
한화유럽대표증권자투자신탁(H)(주식-재간접형)CP-E클래스,한화자산운용,재간접,2016/01/27,판매,가능,167,254,14.71,10.50,181,232,8.36,8.46,3.01,4.77,3.98,,1.53,1.16,1.35,,,,,,
삼성누버거버먼이머징국공채플러스증권자투자신탁H[채권-재간접형]S-P,삼성자산운용,재간접,2016/10/07,판매,가능,237,253,8.91,9.70,238,235,8.39,10.45,-2.23,-2.17,-1.30,,0.29,0.31,0.32,,,,,,
브이아이코리아통일르네상스증권자투자신탁[주식]C-Pe2,브이아이자산운용,주식형,2018/06/18,판매,가능,137,253,57.91,46.30,97,133,-12.28,-6.40,-15.72,-2.26,,,1.38,1.38,,,,,,,
키움SmartInvestor분할매수증권자투자신탁 1C-Pe[주식혼합-재간접형],키움투자자산운용,재간접,2017/09/04,판매,가능,162,253,27.70,23.71,196,213,-13.50,-9.35,-10.42,-1.66,-2.25,,0.76,0.77,0.74,,,,,,
신한마음편한TDF2040증권투자신탁[주식혼합-재간접형](종류S-p),신한자산운용,재간접,2017/11/15,판매,가능,169,253,17.85,13.77,169,227,17.19,15.46,2.76,5.37,4.52,,0.66,0.66,0.62,,,,,,
KB인도성장셀렉션증권자투자신탁(주식)(UH)C-Pe,케이비자산운용,주식형,2024/07/31,판매,가능,279,253,-16.99,-15.97,128,136,0.00,,,,,,,,,,,,,,
현대인베스트먼트하이킥중소형증권투자신탁 1(채권혼합)C-P1,현대인베스트먼트자산운용,혼합채권형,2015/05/07,판매,가능,163,251,13.16,9.09,219,282,3.93,4.49,2.59,4.74,2.80,,1.53,1.46,1.40,,,,,,
키움단기국공채코어밸류20증권자투자신탁 1[채권혼합]C-Pe,키움투자자산운용,혼합채권형,2017/11/23,판매,가능,215,251,9.21,8.19,169,187,0.77,0.88,1.53,2.13,1.81,,0.85,0.83,0.80,,,,,,
유진챔피언공모주&배당주30증권투자신탁(채권혼합)ClassC-P1,유진자산운용,혼합채권형,2021/04/05,판매,가능,222,251,7.18,6.96,167,179,2.08,2.43,1.56,,,,0.79,,,,,,,,
에셋플러스글로벌리치투게더40증권자투자신탁 1[채권혼합]종류C-P,에셋플러스자산운용,혼합채권형,2016/08/10,판매,가능,175,251,12.05,9.49,169,231,14.47,11.84,2.80,5.59,5.07,,1.68,1.66,1.58,,,,,,
KCGI코리아증권투자신탁[채권혼합]종류S-P,케이씨지아이자산운용,혼합채권형,2015/07/15,판매,가능,156,250,31.93,15.95,238,272,7.77,6.76,2.32,3.93,2.96,,0.54,0.54,0.52,,,,,,
삼성인덱스파워증권자투자신탁 1[주식-파생형](C-Pe),삼성자산운용,파생상품,2021/01/18,판매,가능,176,250,38.42,39.93,174,163,-11.15,-9.78,-7.92,,,,0.52,,,,,,,,
하나유럽오퍼튜니티증권자투자신탁[주식-재간접형]ClassC-P,하나자산운용,재간접,2015/05/29,판매,가능,169,249,-1.92,-0.53,169,235,6.69,5.47,-5.33,3.34,4.71,,1.27,1.22,1.13,,,,,,
삼성클래식인덱스연금증권전환형투자신탁 1[주식]_S-P,삼성자산운용,주식형,2016/08/29,판매,가능,128,249,54.58,40.27,223,248,-13.21,-9.34,-11.28,-0.94,-2.54,,0.83,0.85,0.81,,,,,,
한국투자TIF알아서평생소득증권자투자신탁(채권혼합-재간접형)(C-P),한국투자신탁운용,재간접,2017/11/27,판매,가능,207,249,8.29,7.45,381,402,8.38,8.56,-0.03,1.56,2.31,,0.76,0.76,0.77,,,,,,
KB글로벌ESG성장리더스증권자투자신탁(주식)(H)C-Pe,케이비자산운용,주식형,2019/07/17,판매,가능,172,248,11.96,9.53,376,419,13.17,13.66,-2.49,4.11,,,1.34,1.35,,,,,,,
삼성ETF를담은TDF2045증권자투자신탁[혼합-재간접형]_S-P,삼성자산운용,재간접,2020/05/28,판매,가능,203,248,10.41,11.41,247,271,10.91,13.47,0.02,,,,0.33,,,,,,,,
현대인베스트먼트하이킥중소형증권투자신탁 1(채권혼합)P1-e,현대인베스트먼트자산운용,혼합채권형,2018/02/02,판매,가능,203,247,10.22,9.53,254,274,4.00,4.91,2.69,4.59,,,0.90,0.87,,,,,,,
미래에셋상생ESG증권자투자신탁(주식) 종류C-Pe,미래에셋자산운용,주식형,2021/03/02,판매,가능,178,246,23.85,21.15,172,206,20.59,21.87,-1.54,,,,1.09,,,,,,,,
교보악사평생든든TDF2045증권자투자신탁(혼합-재간접형)ClassC-Pe(연금),교보악사자산운용,재간접,2019/05/21,판매,가능,181,246,13.46,11.44,215,255,13.90,13.85,1.74,4.09,,,0.64,0.65,,,,,,,
베어링고배당40플러스증권자투자신탁(채권혼합)ClassC-P,베어링자산운용,혼합채권형,2016/10/04,판매,가능,170,245,13.25,10.17,180,227,-0.24,0.81,0.33,2.61,1.78,,1.52,1.47,1.41,,,,,,
삼성코리아중기채권증권자투자신탁 1[채권]_CYe,삼성자산운용,채권형,2021/01/20,판매,가능,232,245,-1.06,3.99,185,204,5.49,5.50,1.74,,,,0.26,,,,,,,,
카디안연금저축코리아리더스증권자투자신탁[주식]클래스C-E,카디안자산운용,주식형,2015/04/20,판매,가능,141,244,38.55,32.04,127,155,-19.65,-12.19,-23.55,-5.59,-6.31,,1.35,1.37,1.26,,,,,,
신한스마트KRX300인덱스증권자투자신탁 1[주식-파생형]종류C-p,신한자산운용,파생상품,2018/02/12,판매,가능,105,243,54.47,37.35,122,172,-18.99,-9.84,-17.92,-4.57,,,1.17,1.15,,,,,,,
피델리티연금코리아증권전환형자투자신탁(주식-재간접형)종류C-e,피델리티자산운용,재간접,2015/06/03,판매,가능,147,243,49.90,38.45,145,164,-15.55,-10.04,-10.27,0.84,-1.27,,1.01,1.05,1.00,,,,,,
우리다같이TDF2025증권투자신탁(혼합-재간접형)ClassC-P1e,우리자산운용,재간접,2020/09/21,판매,가능,222,243,7.99,8.79,66,72,10.51,10.44,0.99,,,,0.41,,,,,,,,
한국투자글로벌착한기업ESG증권투자신탁(주식-재간접형)(C-P),한국투자신탁운용,재간접,2019/04/05,판매,가능,169,242,22.68,19.83,233,276,14.39,14.05,-1.96,2.27,,,1.31,1.49,,,,,,,
KB글로벌테크놀로지EMP증권자투자신탁(주식-재간접형)S-P,케이비자산운용,재간접,2018/05/18,판매,가능,185,241,21.33,20.91,262,285,18.98,20.34,-3.11,5.28,,,0.81,0.87,,,,,,,
마이다스블루칩배당증권투자신탁 1(주식)C-Pe1,마이다스에셋자산운용,주식형,2017/12/21,판매,가능,117,240,56.42,41.23,122,144,-10.83,-6.73,-8.94,1.14,-0.39,,1.23,1.25,1.16,,,,,,
삼성언택트코리아증권자투자신탁 1[주식]C-Pe,삼성자산운용,주식형,2020/08/11,판매,가능,171,240,41.95,44.90,109,104,-11.38,-9.82,-10.61,,,,1.23,,,,,,,,
미래에셋글로벌솔루션증권자투자신탁2(주식-재간접형)종류C-Pe,미래에셋자산운용,재간접,2017/07/18,판매,가능,112,239,39.94,19.87,105,203,40.89,26.84,8.12,12.14,8.62,,1.23,1.15,1.05,,,,,,
카디안미국뱅크론특별자산자투자신탁(H)[대출채권-재간접형]클래스S-P2(연금저축),카디안자산운용,특별자산,2016/03/16,판매,가능,206,238,5.08,4.65,169,194,8.18,6.32,3.94,0.88,1.03,,0.71,0.70,0.80,,,,,,
신한베스트크레딧단기증권자투자신탁[채권](종류S-P),신한자산운용,채권형,2020/08/04,판매,가능,200,238,4.38,4.05,185,225,5.38,4.86,5.03,,,,0.21,,,,,,,,
트러스톤장기고배당연금저축증권자투자신탁[주식]Ce클래스,트러스톤자산운용,주식형,2015/03/06,판매,가능,106,237,57.08,36.51,102,159,-0.94,0.01,-2.28,4.55,2.08,,1.54,1.40,1.28,,,,,,
KB다이나믹TDF2040증권자투자신탁(주식혼합-재간접형)C-P,케이비자산운용,재간접,2022/05/17,판매,가능,178,237,16.19,13.88,185,226,15.22,14.30,,,,,,,,,,,,,
KB글로벌리얼에셋인컴증권자투자신탁(채권)(H)C-P,케이비자산운용,채권형,2018/10/04,판매,가능,206,236,4.66,4.24,211,232,4.54,4.39,-0.76,0.71,,,1.56,1.57,,,,,,,
미래에셋글로벌리츠부동산자투자신탁(재간접형)종류C-Pe,미래에셋자산운용,부동산,2016/11/02,판매,가능,220,235,-18.24,-6.44,416,437,-0.40,1.61,-9.82,-4.46,1.32,,1.31,1.37,1.40,,,,,,
마이다스액티브가치증권투자회사(주식)S-P,마이다스에셋자산운용,주식형,2018/12/04,판매,가능,111,235,33.88,22.04,192,240,-18.34,-13.20,-7.05,1.25,,,1.18,1.10,,,,,,,
삼성누버거버먼글로벌인컴증권자투자신탁UH[채권-재간접형]_S-P,삼성자산운용,재간접,2015/05/26,판매,가능,147,234,18.85,13.52,131,212,25.89,18.90,9.84,8.05,7.74,,0.47,0.45,0.44,,,,,,
교보악사평생든든TDF2035증권자투자신탁(혼합-재간접형)ClassC-Pe(연금),교보악사자산운용,재간접,2019/05/21,판매,가능,195,234,10.96,10.29,170,189,11.22,12.69,-1.79,0.20,,,0.77,0.73,,,,,,,
미래에셋ETF로자산배분TDF2055증권자투자신탁(혼합-재간접형)종류C-Pe,미래에셋자산운용,재간접,2024/07/05,판매,가능,208,233,14.66,12.81,46,47,0.77,,,,,,,,,,,,,,
한화헤라클레스선진국액티브증권자투자신탁(H)(주식)C-P(연금저축),한화자산운용,주식형,2023/07/21,판매,가능,214,232,11.86,17.81,31,31,22.05,,,,,,,,,,,,,,
하나PIMCO글로벌인컴혼합자산자투자신탁(UH)[재간접형]ClassC-P,하나자산운용,혼합자산,2019/04/04,판매,가능,163,231,16.33,13.38,147,209,22.51,19.10,8.91,6.87,,,1.29,1.21,,,,,,,
미래에셋성장테마리밸런싱EMP증권자투자신탁(주식-재간접형)종류C-Pe,미래에셋자산운용,재간접,2020/11/04,판매,가능,152,231,31.02,20.17,78,103,17.90,19.09,-2.14,5.73,,,1.18,1.01,,,,,,,
미래에셋베스트솔루션50증권자투자신탁 1 (채권혼합)종류C-Pe,미래에셋자산운용,혼합채권형,2015/10/30,판매,가능,156,230,-0.10,10.74,221,306,36.95,17.49,2.95,5.16,3.69,3.54,1.07,1.09,1.05,0.95,,,,,
키움글로벌구독경제증권자투자신탁(UH)[주식]ClassS-P,키움투자자산운용,주식형,2020/05/18,판매,가능,104,229,67.01,48.17,135,221,60.36,52.15,8.25,,,,1.23,,,,,,,,
한국투자TDF알아서ETF포커스2030증권투자신탁(혼합-재간접형)(C-P),한국투자신탁운용,재간접,2023/07/06,판매,가능,203,228,13.00,13.08,68,80,18.66,19.13,,,,,,,,,,,,,
현대연금저축증권전환형자투자신탁 1[주식]종류A,현대자산운용,주식형,2009/07/09,판매,가능,187,226,11.28,13.23,187,177,-56.55,-36.90,-30.62,-13.31,-13.95,-7.83,1.28,1.26,1.20,1.17,,,,,
키움중국인덱스증권자투자신탁제 1[주식-파생재간접형]Class C-P,키움투자자산운용,파생상품,2013/12/16,판매,가능,312,226,16.92,27.52,374,227,11.57,20.35,-7.68,-6.99,-6.54,-5.27,0.89,1.04,1.09,1.08,,,,,
NH-Amundi아세안플러스증권투자신탁 1[주식]ClassC-P1e(연금저축),엔에이치아문디자산운용,주식형,2017/10/31,판매,가능,174,225,10.69,9.99,171,216,29.09,29.42,8.65,6.51,2.45,,1.17,1.09,1.07,,,,,,
미래에셋AI스마트베타EMP증권자투자신탁(주식-재간접형)종류C-P,미래에셋자산운용,재간접,2017/01/23,판매,가능,140,224,40.84,35.67,141,157,-12.44,-6.66,-12.14,-6.29,-7.93,,0.82,0.82,0.82,,,,,,
삼성ETF를담은TDF2030증권자투자신탁[혼합-재간접형]_S-P,삼성자산운용,재간접,2020/05/28,판매,가능,181,223,8.67,9.45,214,242,9.79,11.36,1.64,,,,0.24,,,,,,,,
삼성일본리더스증권전환형자투자신탁2[주식]_C-Pe,삼성자산운용,주식형,2021/09/15,판매,가능,156,222,25.16,22.07,145,183,26.33,28.45,7.65,,,,1.33,,,,,,,,
신한디딤글로벌EMP증권투자신탁[혼합-재간접형](종류C-pe),신한자산운용,재간접,2022/06/17,판매,가능,208,221,8.52,11.25,140,142,22.42,13.94,,,,,,,,,,,,,
KBBBIG플러스인덱스증권투자신탁(주식)S-P,케이비자산운용,주식형,2020/11/23,판매,가능,219,221,17.71,23.97,236,172,-14.41,-15.52,-12.71,,,,0.55,,,,,,,,
BNK튼튼코리아증권투자신탁 1(주식)CLASSC-Pe,비엔케이자산운용,주식형,2018/09/03,판매,가능,101,221,51.74,39.84,148,184,-5.01,-2.23,-8.04,2.57,,,1.33,1.29,,,,,,,
트러스톤다이나믹코리아50증권자투자신탁[주식혼합]Cp-E클래스,트러스톤자산운용,혼합주식형,2018/03/07,판매,가능,206,218,10.08,10.93,194,184,-1.24,-1.35,-2.66,-0.47,,,0.88,0.88,,,,,,,
삼성우량주장기증권자투자신탁[주식]C-P,삼성자산운용,주식형,2017/11/07,판매,가능,139,218,41.52,40.36,149,152,-6.99,-5.00,-12.22,-3.25,-4.66,,1.77,1.78,1.69,,,,,,
한국밸류10년투자중소형연금증권자투자신탁(주식)(C),한국투자밸류자산운용,주식형,2018/03/29,판매,가능,129,218,54.11,50.62,144,148,-34.69,-24.44,-22.45,-5.46,,,1.92,1.92,,,,,,,
신한연금저축POP펀드셀렉션60증권자투자신탁[주식혼합-재간접형](종류C-e),신한자산운용,재간접,2015/10/16,판매,가능,186,217,18.00,17.13,51,64,9.73,8.61,1.52,4.76,3.65,,0.65,0.66,0.64,,,,,,
삼성일본인덱스증권자투자신탁UH[주식]S-P,삼성자산운용,주식형,2017/09/29,판매,가능,113,216,23.52,16.75,151,224,22.62,23.24,5.09,9.30,8.20,,0.74,0.79,0.71,,,,,,
삼성J-REITs부동산투자신탁 1[REITs-재간접형](C-P),삼성자산운용,부동산,2019/03/28,판매,가능,120,216,19.82,15.88,147,207,-8.83,-1.81,-5.18,-4.75,,,1.91,1.76,,,,,,,
피델리티미달러채권증권자투자신탁H(채권-재간접형)종류S-PRS,피델리티자산운용,재간접,2020/07/03,판매,가능,195,216,-0.91,-0.42,343,352,-3.39,-2.54,-4.38,,,,0.21,,,,,,,,
트러스톤아시아장기성장주연금저축증권자투자신탁[주식]Ce클래스,트러스톤자산운용,주식형,2015/08/03,판매,가능,152,215,28.41,25.46,118,150,17.88,17.02,-2.62,0.09,-0.27,,1.30,1.36,1.30,,,,,,
한화꿈에그린차이나A주증권자투자신탁H-1(주식)종류C-Pe(연금저축),한화자산운용,주식형,2017/11/16,판매,가능,247,214,22.72,37.73,240,164,11.95,21.82,-10.90,-4.61,-5.28,,0.85,1.01,1.01,,,,,,
신한마음편한TDF2050증권투자신탁[주식혼합-재간접형](종류S-p),신한자산운용,재간접,2021/06/25,판매,가능,147,214,20.42,16.14,184,226,17.66,16.93,4.94,,,,0.58,,,,,,,,
삼성코리아중기채권증권자투자신탁 1[채권]S-P,삼성자산운용,채권형,2017/09/20,판매,가능,200,213,-1.45,4.01,120,136,5.73,5.53,2.26,0.68,1.01,,0.24,0.25,0.21,,,,,,
유리글로벌Top10주식과단기채증권자투자신탁[채권혼합]_ClassC-P2,유리자산운용,혼합채권형,2022/01/24,판매,가능,193,213,10.22,11.32,74,80,11.32,12.89,4.58,,,,0.74,,,,,,,,
교보악사삼성전자투게더30증권투자신탁[채권혼합]ClassC-Pe(연금),교보악사자산운용,혼합채권형,2024/02/29,판매,가능,197,213,12.38,12.72,53,53,0.00,,,,,,,,,,,,,,
키움키워드림TDF2030증권투자신탁 1[혼합-재간접형]C-P,키움투자자산운용,재간접,2019/03/25,판매,가능,166,211,10.29,8.88,167,199,13.09,13.11,0.38,4.67,,,0.81,0.83,,,,,,,
키움키워드림TDF2040증권투자신탁 1[혼합-재간접형]S-P,키움투자자산운용,재간접,2018/07/11,판매,가능,157,209,13.80,11.80,154,190,16.90,16.72,1.76,6.39,,,0.57,0.58,,,,,,,
DB단기국공채공모주증권투자신탁 1[채권혼합]ClassC-P,디비자산운용,혼합채권형,2021/06/03,판매,가능,190,209,2.56,2.37,199,215,2.72,2.58,2.45,,,,1.38,,,,,,,,
미래에셋연금차이나배당커버드콜액티브증권자투자신탁 1(주식혼합)종류C-Pe,미래에셋자산운용,혼합주식형,2015/02/26,판매,가능,220,208,10.74,17.19,128,104,15.02,13.01,-0.30,0.24,-0.75,-0.26,0.80,0.91,0.92,0.91,,,,,
KCGI글로벌성장기반증권자투자신탁[주식]종류S-P,케이씨지아이자산운용,주식형,2018/03/22,판매,가능,159,208,12.84,13.23,183,229,16.06,16.02,-1.45,4.13,,,1.32,1.31,,,,,,,
미래에셋라이프사이클6070연금증권전환형자투자신탁 1(채권혼합)종류C-e,미래에셋자산운용,혼합채권형,2017/09/22,판매,가능,189,208,11.31,9.61,131,134,3.62,3.51,0.75,1.70,2.12,,0.86,0.87,0.87,,,,,,
키움키워드림TDF2040증권투자신탁 1[혼합-재간접형]C-P,키움투자자산운용,재간접,2019/03/25,판매,가능,156,208,13.45,11.39,201,238,15.72,16.01,1.07,5.45,,,1.03,1.06,,,,,,,
한국투자월스트리트투자은행증권투자신탁 1(주식)(C-P),한국투자신탁운용,주식형,2017/12/01,판매,가능,464,207,8.37,21.55,514,231,8.08,22.11,0.87,1.58,1.30,,0.72,0.61,0.81,,,,,,
우리연금저축포커스증권자투자신탁(주식)ClassC,우리자산운용,주식형,2013/12/06,판매,가능,109,206,45.01,37.79,112,133,-33.65,-19.94,-62.64,-39.12,-34.45,-22.19,2.18,2.22,2.05,1.86,,,,,
한화코리아레전드중소형주증권자투자신탁(주식)종류C-Pe(연금저축),한화자산운용,주식형,2017/08/29,판매,가능,187,206,25.61,43.96,119,86,-8.86,-10.24,-10.24,0.27,-2.50,,0.92,0.95,0.96,,,,,,
미래에셋연금선진시장증권자투자신탁 1(주식-재간접형) 종류C-P,미래에셋자산운용,재간접,2015/07/06,판매,가능,194,205,12.01,12.66,195,204,20.58,19.67,5.33,9.28,7.96,9.00,1.43,1.48,1.48,,,,,,
신한이머징단기채권증권자투자신탁(UH)[채권-재간접형](종류S-P),신한자산운용,재간접,2020/03/09,판매,가능,176,205,14.35,12.97,86,120,25.02,21.88,-23.77,,,,0.66,,,,,,,,
iM에셋글로벌주식배당프리미엄증권투자신탁(주식-재간접형)(C-p),아이엠에셋자산운용,재간접,2015/06/29,판매,가능,145,204,10.76,8.48,134,177,17.19,15.12,1.73,5.36,4.01,,1.29,1.26,1.23,,,,,,
